eventDetLatSum: $9808$, patternDetLatSum: $53$, totalLatencySum: $9861$, matchedPatternsSum: $54$
eventDetLatSum: $7970$, patternDetLatSum: $50$, totalLatencySum: $8020$, matchedPatternsSum: $54$
eventDetLatSum: $18920$, patternDetLatSum: $15$, totalLatencySum: $18935$, matchedPatternsSum: $151$
eventDetLatSum: $25490$, patternDetLatSum: $28$, totalLatencySum: $25518$, matchedPatternsSum: $157$
eventDetLatSum: $21164$, patternDetLatSum: $8$, totalLatencySum: $21172$, matchedPatternsSum: $148$
eventDetLatSum: $21345$, patternDetLatSum: $10$, totalLatencySum: $21355$, matchedPatternsSum: $142$
eventDetLatSum: $26146$, patternDetLatSum: $11$, totalLatencySum: $26157$, matchedPatternsSum: $192$
eventDetLatSum: $30775$, patternDetLatSum: $6$, totalLatencySum: $30781$, matchedPatternsSum: $192$
eventDetLatSum: $33706$, patternDetLatSum: $16$, totalLatencySum: $33722$, matchedPatternsSum: $208$
eventDetLatSum: $25095$, patternDetLatSum: $8$, totalLatencySum: $25103$, matchedPatternsSum: $208$
eventDetLatSum: $30817$, patternDetLatSum: $8$, totalLatencySum: $30825$, matchedPatternsSum: $216$
eventDetLatSum: $28682$, patternDetLatSum: $7$, totalLatencySum: $28689$, matchedPatternsSum: $216$
eventDetLatSum: $30514$, patternDetLatSum: $4$, totalLatencySum: $30518$, matchedPatternsSum: $247$
eventDetLatSum: $33560$, patternDetLatSum: $4$, totalLatencySum: $33564$, matchedPatternsSum: $247$
eventDetLatSum: $31356$, patternDetLatSum: $3$, totalLatencySum: $31359$, matchedPatternsSum: $217$
eventDetLatSum: $30019$, patternDetLatSum: $3$, totalLatencySum: $30022$, matchedPatternsSum: $217$
eventDetLatSum: $35660$, patternDetLatSum: $15$, totalLatencySum: $35675$, matchedPatternsSum: $294$
eventDetLatSum: $34483$, patternDetLatSum: $1$, totalLatencySum: $34484$, matchedPatternsSum: $294$
eventDetLatSum: $35587$, patternDetLatSum: $5$, totalLatencySum: $35592$, matchedPatternsSum: $303$
eventDetLatSum: $38126$, patternDetLatSum: $7$, totalLatencySum: $38133$, matchedPatternsSum: $303$
