{last=[Thu Jan 01 01:00:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 01:21:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 01:00:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 01:21:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 01:42:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:03:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 01:42:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:03:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:24:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:45:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:06:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:24:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 02:45:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:06:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:27:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:48:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:09:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:27:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:30:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 03:48:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:09:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:30:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:51:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:12:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:33:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:54:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 04:51:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:12:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:33:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 05:54:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:15:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:36:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:57:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 07:18:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:15:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:36:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 06:57:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 07:18:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 07:39:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 08:00:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 07:39:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 08:00:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 08:21:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 08:42:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 09:03:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 09:24:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 09:45:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 10:06:00 CET 1970,R2000070,251.0, quantity, POINT(8.915097, 50.266945)]}
{last=[Thu Jan 01 08:21:00 CET 1970,R2000070,176.0, velocity, POINT(8.915097, 50.266945)]}
