eventDetLatSum: $164068$, patternDetLatSum: $33$, totalLatencySum: $164101$, matchedPatternsSum: $190$
eventDetLatSum: $350590$, patternDetLatSum: $9$, totalLatencySum: $350599$, matchedPatternsSum: $204$
eventDetLatSum: $618264$, patternDetLatSum: $4$, totalLatencySum: $618268$, matchedPatternsSum: $229$
eventDetLatSum: $1113147$, patternDetLatSum: $9$, totalLatencySum: $1113156$, matchedPatternsSum: $321$
eventDetLatSum: $1533159$, patternDetLatSum: $6$, totalLatencySum: $1533165$, matchedPatternsSum: $341$
eventDetLatSum: $1631394$, patternDetLatSum: $7$, totalLatencySum: $1631401$, matchedPatternsSum: $300$
eventDetLatSum: $3168894$, patternDetLatSum: $8$, totalLatencySum: $3168902$, matchedPatternsSum: $490$
eventDetLatSum: $3082177$, patternDetLatSum: $6$, totalLatencySum: $3082183$, matchedPatternsSum: $424$
eventDetLatSum: $3924479$, patternDetLatSum: $14$, totalLatencySum: $3924493$, matchedPatternsSum: $470$
eventDetLatSum: $5041203$, patternDetLatSum: $10$, totalLatencySum: $5041213$, matchedPatternsSum: $548$
eventDetLatSum: $4650614$, patternDetLatSum: $9$, totalLatencySum: $4650623$, matchedPatternsSum: $463$
eventDetLatSum: $5384190$, patternDetLatSum: $5$, totalLatencySum: $5384195$, matchedPatternsSum: $490$
eventDetLatSum: $3964577$, patternDetLatSum: $4$, totalLatencySum: $3964581$, matchedPatternsSum: $329$
eventDetLatSum: $6078235$, patternDetLatSum: $8$, totalLatencySum: $6078243$, matchedPatternsSum: $472$
eventDetLatSum: $8200602$, patternDetLatSum: $12$, totalLatencySum: $8200614$, matchedPatternsSum: $591$
eventDetLatSum: $9486027$, patternDetLatSum: $8$, totalLatencySum: $9486035$, matchedPatternsSum: $639$
eventDetLatSum: $10829031$, patternDetLatSum: $14$, totalLatencySum: $10829045$, matchedPatternsSum: $687$
eventDetLatSum: $11499768$, patternDetLatSum: $10$, totalLatencySum: $11499778$, matchedPatternsSum: $689$
eventDetLatSum: $8564708$, patternDetLatSum: $6$, totalLatencySum: $8564714$, matchedPatternsSum: $488$
eventDetLatSum: $12215610$, patternDetLatSum: $9$, totalLatencySum: $12215619$, matchedPatternsSum: $659$
eventDetLatSum: $13659466$, patternDetLatSum: $15$, totalLatencySum: $13659481$, matchedPatternsSum: $701$
eventDetLatSum: $13303365$, patternDetLatSum: $8$, totalLatencySum: $13303373$, matchedPatternsSum: $652$
eventDetLatSum: $11287048$, patternDetLatSum: $11$, totalLatencySum: $11287059$, matchedPatternsSum: $530$
eventDetLatSum: $15689251$, patternDetLatSum: $10$, totalLatencySum: $15689261$, matchedPatternsSum: $702$
eventDetLatSum: $19344779$, patternDetLatSum: $12$, totalLatencySum: $19344791$, matchedPatternsSum: $833$
eventDetLatSum: $16413605$, patternDetLatSum: $11$, totalLatencySum: $16413616$, matchedPatternsSum: $679$
eventDetLatSum: $17398945$, patternDetLatSum: $14$, totalLatencySum: $17398959$, matchedPatternsSum: $691$
eventDetLatSum: $19141693$, patternDetLatSum: $14$, totalLatencySum: $19141707$, matchedPatternsSum: $733$
eventDetLatSum: $18450238$, patternDetLatSum: $12$, totalLatencySum: $18450250$, matchedPatternsSum: $681$
eventDetLatSum: $20345738$, patternDetLatSum: $8$, totalLatencySum: $20345746$, matchedPatternsSum: $726$
eventDetLatSum: $20693977$, patternDetLatSum: $7$, totalLatencySum: $20693984$, matchedPatternsSum: $713$
eventDetLatSum: $22027818$, patternDetLatSum: $14$, totalLatencySum: $22027832$, matchedPatternsSum: $735$
eventDetLatSum: $21496570$, patternDetLatSum: $13$, totalLatencySum: $21496583$, matchedPatternsSum: $695$
eventDetLatSum: $22644521$, patternDetLatSum: $10$, totalLatencySum: $22644531$, matchedPatternsSum: $710$
eventDetLatSum: $22624675$, patternDetLatSum: $12$, totalLatencySum: $22624687$, matchedPatternsSum: $689$
eventDetLatSum: $22394409$, patternDetLatSum: $12$, totalLatencySum: $22394421$, matchedPatternsSum: $662$
eventDetLatSum: $25559488$, patternDetLatSum: $12$, totalLatencySum: $25559500$, matchedPatternsSum: $735$
eventDetLatSum: $26368181$, patternDetLatSum: $13$, totalLatencySum: $26368194$, matchedPatternsSum: $738$
eventDetLatSum: $23692909$, patternDetLatSum: $11$, totalLatencySum: $23692920$, matchedPatternsSum: $646$
eventDetLatSum: $19006882$, patternDetLatSum: $12$, totalLatencySum: $19006894$, matchedPatternsSum: $504$
eventDetLatSum: $28026835$, patternDetLatSum: $9$, totalLatencySum: $28026844$, matchedPatternsSum: $725$
eventDetLatSum: $25519133$, patternDetLatSum: $13$, totalLatencySum: $25519146$, matchedPatternsSum: $644$
eventDetLatSum: $29066657$, patternDetLatSum: $13$, totalLatencySum: $29066670$, matchedPatternsSum: $716$
eventDetLatSum: $30877651$, patternDetLatSum: $16$, totalLatencySum: $30877667$, matchedPatternsSum: $743$
eventDetLatSum: $26550111$, patternDetLatSum: $13$, totalLatencySum: $26550124$, matchedPatternsSum: $625$
eventDetLatSum: $21570836$, patternDetLatSum: $4$, totalLatencySum: $21570840$, matchedPatternsSum: $496$
eventDetLatSum: $27251719$, patternDetLatSum: $12$, totalLatencySum: $27251731$, matchedPatternsSum: $614$
eventDetLatSum: $22796691$, patternDetLatSum: $5$, totalLatencySum: $22796696$, matchedPatternsSum: $503$
eventDetLatSum: $12940811$, patternDetLatSum: $12$, totalLatencySum: $12940823$, matchedPatternsSum: $279$
eventDetLatSum: $24472521$, patternDetLatSum: $10$, totalLatencySum: $24472531$, matchedPatternsSum: $517$
eventDetLatSum: $23749718$, patternDetLatSum: $4$, totalLatencySum: $23749722$, matchedPatternsSum: $492$
eventDetLatSum: $16303919$, patternDetLatSum: $8$, totalLatencySum: $16303927$, matchedPatternsSum: $331$
eventDetLatSum: $17607851$, patternDetLatSum: $1$, totalLatencySum: $17607852$, matchedPatternsSum: $350$
eventDetLatSum: $21204030$, patternDetLatSum: $10$, totalLatencySum: $21204040$, matchedPatternsSum: $413$
eventDetLatSum: $20766837$, patternDetLatSum: $7$, totalLatencySum: $20766844$, matchedPatternsSum: $398$
eventDetLatSum: $4525393$, patternDetLatSum: $0$, totalLatencySum: $4525393$, matchedPatternsSum: $85$
eventDetLatSum: $2558257$, patternDetLatSum: $1$, totalLatencySum: $2558258$, matchedPatternsSum: $47$
eventDetLatSum: $5824473$, patternDetLatSum: $0$, totalLatencySum: $5824473$, matchedPatternsSum: $105$
eventDetLatSum: $23954739$, patternDetLatSum: $9$, totalLatencySum: $23954748$, matchedPatternsSum: $425$
eventDetLatSum: $26689584$, patternDetLatSum: $8$, totalLatencySum: $26689592$, matchedPatternsSum: $466$
eventDetLatSum: $24051652$, patternDetLatSum: $9$, totalLatencySum: $24051661$, matchedPatternsSum: $413$
eventDetLatSum: $23042794$, patternDetLatSum: $7$, totalLatencySum: $23042801$, matchedPatternsSum: $389$
eventDetLatSum: $26881478$, patternDetLatSum: $8$, totalLatencySum: $26881486$, matchedPatternsSum: $446$
eventDetLatSum: $13663762$, patternDetLatSum: $8$, totalLatencySum: $13663770$, matchedPatternsSum: $223$
eventDetLatSum: $16620486$, patternDetLatSum: $3$, totalLatencySum: $16620489$, matchedPatternsSum: $267$
eventDetLatSum: $30084937$, patternDetLatSum: $3$, totalLatencySum: $30084940$, matchedPatternsSum: $476$
eventDetLatSum: $36659027$, patternDetLatSum: $11$, totalLatencySum: $36659038$, matchedPatternsSum: $571$
eventDetLatSum: $40193921$, patternDetLatSum: $9$, totalLatencySum: $40193930$, matchedPatternsSum: $617$
eventDetLatSum: $43769773$, patternDetLatSum: $14$, totalLatencySum: $43769787$, matchedPatternsSum: $662$
eventDetLatSum: $35445418$, patternDetLatSum: $11$, totalLatencySum: $35445429$, matchedPatternsSum: $528$
eventDetLatSum: $39694523$, patternDetLatSum: $17$, totalLatencySum: $39694540$, matchedPatternsSum: $583$
eventDetLatSum: $40119108$, patternDetLatSum: $9$, totalLatencySum: $40119117$, matchedPatternsSum: $581$
eventDetLatSum: $42221947$, patternDetLatSum: $12$, totalLatencySum: $42221959$, matchedPatternsSum: $603$
eventDetLatSum: $38603520$, patternDetLatSum: $11$, totalLatencySum: $38603531$, matchedPatternsSum: $544$
eventDetLatSum: $43321101$, patternDetLatSum: $7$, totalLatencySum: $43321108$, matchedPatternsSum: $602$
eventDetLatSum: $21199498$, patternDetLatSum: $8$, totalLatencySum: $21199506$, matchedPatternsSum: $291$
eventDetLatSum: $31761894$, patternDetLatSum: $17$, totalLatencySum: $31761911$, matchedPatternsSum: $430$
eventDetLatSum: $32415798$, patternDetLatSum: $4$, totalLatencySum: $32415802$, matchedPatternsSum: $433$
eventDetLatSum: $37878502$, patternDetLatSum: $7$, totalLatencySum: $37878509$, matchedPatternsSum: $499$
eventDetLatSum: $43595476$, patternDetLatSum: $7$, totalLatencySum: $43595483$, matchedPatternsSum: $567$
